Description,Address,TiB,GiB,MiB,KiB,B
&printAddress,  94200394895849,  85, 690, 977, 212, 489
f1,  94200394896032,  85, 690, 977, 212, 672
f2,  94200394896286,  85, 690, 977, 212, 926
main,  94200394896537,  85, 690, 977, 213, 153
gc,  94200394899484,  85, 690, 977, 216, 28
String Literal,  94200394899464,  85, 690, 977, 216, 8
gx,  94200394907664,  85, 690, 977, 224, 16
gname1,  94200394907672,  85, 690, 977, 224, 24
gname2,  94200394907688,  85, 690, 977, 224, 40
gy,  94200394907724,  85, 690, 977, 224, 76
gz,  94200394907728,  85, 690, 977, 224, 80
environ,  140725992169352,  127, 1013, 300, 391, 904
argc,  140725992168748,  127, 1013, 300, 391, 300
argv,  140725992169336,  127, 1013, 300, 391, 888
env,  140725992169352,  127, 1013, 300, 391, 904
main_buf,  140725992168784,  127, 1013, 300, 391, 336
nv,  140725992168764,  127, 1013, 300, 391, 316
main_p1,  94200404886192,  85, 690, 986, 752, 688
main_p2,  94200404886400,  85, 690, 986, 752, 896
main_p1 (Heap),  94200404886192,  85, 690, 986, 752, 688
main_p2 (Heap),  94200404886400,  85, 690, 986, 752, 896
&f2_buf,  140725991120112,  127, 1013, 299, 391, 240
&f2_p,  140725991120104,  127, 1013, 299, 391, 232
f2_p (Heap),  140016620662800,  127, 352, 654, 1020, 16
&x1,  140725991120028,  127, 1013, 299, 391, 156
&f1_l1,  140725991120048,  127, 1013, 299, 391, 176
&f1_l2,  140725991120052,  127, 1013, 299, 391, 180
&f1_l3,  140725991120046,  127, 1013, 299, 391, 174
&f1_l3b,  140725991120047,  127, 1013, 299, 391, 175
&f1_l4,  140725991120064,  127, 1013, 299, 391, 192
&f1_l5,  140725991120056,  127, 1013, 299, 391, 184
&f1_l6,  140725991120060,  127, 1013, 299, 391, 188
argv (Start),  140725992169336,  127, 1013, 300, 391, 888
argv (End),  140725992169344,  127, 1013, 300, 391, 896
argv (Block Start),  140725992169336,  127, 1013, 300, 391, 888
argv (Block End),  140725992169344,  127, 1013, 300, 391, 896
env (Start),  140725992169352,  127, 1013, 300, 391, 904
env (End),  140725992169792,  127, 1013, 300, 392, 320
env (Block Start),  140725992169352,  127, 1013, 300, 391, 904
env (Block End),  140725992169792,  127, 1013, 300, 392, 320
