Description,Address,TiB,GiB,MiB,KiB,B
&printAddress,  94231888781833,  85, 720, 292, 120, 521
&f1,  94231888782016,  85, 720, 292, 120, 704
&f2,  94231888782380,  85, 720, 292, 121, 44
&main,  94231888782631,  85, 720, 292, 121, 295
&gc,  94231888785436,  85, 720, 292, 124, 28
"Computer Science",  94231888785416,  85, 720, 292, 124, 8
&gx,  94231888793616,  85, 720, 292, 132, 16
&gname1,  94231888793624,  85, 720, 292, 132, 24
&gname2,  94231888793640,  85, 720, 292, 132, 40
&gy,  94231888793676,  85, 720, 292, 132, 76
&gz,  94231888793680,  85, 720, 292, 132, 80
&environ,  94231888793664,  85, 720, 292, 132, 64
&argc,  140722176088268,  127, 1009, 757, 86, 204
&argv,  140722176088256,  127, 1009, 757, 86, 192
&env,  140722176088248,  127, 1009, 757, 86, 184
&main_buf,  140722176088304,  127, 1009, 757, 86, 240
&nv,  140722176088284,  127, 1009, 757, 86, 220
&main_p1,  140722176088288,  127, 1009, 757, 86, 224
&main_p2,  140722176088296,  127, 1009, 757, 86, 232
main_p1,  94231903453872,  85, 720, 306, 112, 688
main_p2,  94231903454080,  85, 720, 306, 112, 896
&f2_buf,  140722175039632,  127, 1009, 756, 86, 144
&f2_p,  140722175039624,  127, 1009, 756, 86, 136
f2_p,  140312814022672,  127, 628, 502, 1020, 16
&x1,  140722175039548,  127, 1009, 756, 86, 60
&x2,  140722175039544,  127, 1009, 756, 86, 56
&x3,  140722175039540,  127, 1009, 756, 86, 52
&x4,  140722175039528,  127, 1009, 756, 86, 40
&x5,  140722175039536,  127, 1009, 756, 86, 48
&x6,  140722175039524,  127, 1009, 756, 86, 36
&f1_l1,  140722175039568,  127, 1009, 756, 86, 80
&f1_l2,  140722175039572,  127, 1009, 756, 86, 84
&f1_l3,  140722175039566,  127, 1009, 756, 86, 78
&f1_l3b,  140722175039567,  127, 1009, 756, 86, 79
&f1_l4,  140722175039584,  127, 1009, 756, 86, 96
&f1_l5,  140722175039576,  127, 1009, 756, 86, 88
&f1_l6,  140722175039580,  127, 1009, 756, 86, 92
argv start,  140722176088872,  127, 1009, 757, 86, 808
argv end,  140722176088880,  127, 1009, 757, 86, 816
argv[0] start,  140722176095136,  127, 1009, 757, 92, 928
argv[argc-1] end,  140722176095144,  127, 1009, 757, 92, 936
env start,  140722176088888,  127, 1009, 757, 86, 824
env end,  140722176089336,  127, 1009, 757, 87, 248
env[0] start,  140722176095145,  127, 1009, 757, 92, 937
env[nv-1] end,  140722176098286,  127, 1009, 757, 95, 1006
